wavelength [nm],min loss [dB],max loss [dB]
1525.109161671593,-54.2796518,-75.9914871
1525.1104019561003,-49.715518,-62.2332141
1525.111642242625,-60.9766765,-63.9036311
1525.1128825311669,-52.3474086,-66.5576573
1525.1141228217261,-46.4965342,-69.4820894
1525.1153631143027,-52.9206355,-70.4850622
1525.1166034088967,-53.3137873,-70.4003403
1525.117843705508,-48.7334576,-59.9146107
1525.1190840041365,-53.6753879,-60.0123968
1525.1203243047823,-53.2006791,-73.7891597
1525.1215646074459,-51.7446784,-68.9112739
1525.1228049121264,-58.6444177,-64.5515428
1525.1240452188244,-52.5022125,-65.8646012
1525.1252855275397,-51.4390456,-68.1262478
1525.1265258382725,-52.4516075,-69.3370291
1525.1277661510226,-50.2745062,-68.6029435
1525.12900646579,-51.4398787,-63.4393401
1525.1302467825749,-49.0377238,-60.0215041
1525.1314871013772,-54.0643158,-59.6780335
1525.1327274221967,-53.6387599,-63.5500415
1525.1339677450337,-49.4990139,-62.9049648
1525.135208069888,-51.2127531,-56.7405611
1525.13644839676,-55.0377582,-63.2969335
1525.1376887256492,-52.9921858,-69.2396021
1525.138929056556,-49.5421974,-70.9124279
1525.14016938948,-53.2631644,-73.7380499
1525.1414097244215,-57.6460834,-64.8764951
1525.1426500613802,-54.5858169,-65.1420598
1525.143890400357,-53.1933483,-73.4833648
1525.1451307413504,-51.8473299,-56.6547741
1525.1463710843618,-54.391603,-66.7619553
1525.1476114293907,-50.7416197,-54.4356332
1525.1488517764367,-48.5774145,-62.5838645
1525.1500921255004,-49.8953715,-67.171924
1525.1513324765813,-56.273572,-60.239212
1525.1525728296801,-56.5702418,-58.866903
1525.153813184796,-51.7265347,-61.8445725
1525.1550535419296,-52.2610249,-63.3174083
1525.1562939010805,-52.529775,-74.1906136
1525.157534262249,-51.6001865,-59.3366074
1525.158774625435,-50.6011477,-58.071373
1525.1600149906385,-51.828366,-67.6006497
1525.1612553578593,-50.8454438,-66.5850494
1525.1624957270978,-51.2413448,-63.5557281
1525.1637360983539,-53.09274,-64.7244365
1525.1649764716274,-50.1407885,-56.5377891
